Name,Decision,Type
"ABS PDF Install",Approve,software
"Dime Secure Browser",Approve,software
"FVD Downloader Module",Reject,software
"MicrosoftCorporationII.WindowsSubsystemForAndroid",Investigate,software
"NVM for Windows 1.1.12",Investigate,software
"TokenTool",Investigate,software
"ScreenConnect Client (765a32f0fd245ef6)",Investigate,software
"Adobe AIR",Investigate,software
"Symantec Endpoint Protection",Reject,software
"TeamViewer",Reject,software
"Kaspersky Endpoint Security 10 for Windows",Reject,software
"ScreenConnect Client (e92fb6feb7c9159a)",Investigate,software
"LanSchool Student",Investigate,software
"SpotifyAB.SpotifyMusic",Investigate,software
"Advanced IP Scanner 2.5.1",Investigate,software
"WinDirStat",Investigate,software
"Livigent IC  x64",Investigate,software
"WavePad Sound Editor",Investigate,software
"Adobe Flash Player 32 PPAPI",Investigate,software
"Web Components",Investigate,software
"NBC Learn Offline",Investigate,software
"Adobe Flash Player 32 NPAPI",Investigate,software
"SAP Crystal Reports runtime engine for .NET Framework 4 (32-bit)",Investigate,software
"NBC Learn Offline Player",Investigate,software
"Advanced IP Scanner 2.5",Investigate,software
"Wisenet Device Manager",Investigate,software
"EZTools 3.0",Investigate,software
"Agent Ransack",Investigate,software
"com.nbcuni.aodplayer.38154C9B00B8386E5872F08BE16716F44323C112.1",Investigate,software
"CyberLinkCorp.th.PowerDVDforLenovo",Investigate,software
"CyberLinkCorp.th.Power2GoforLenovo",Investigate,software
"RemoteScan ASP",Investigate,software
"Twack_64",Investigate,software
"VIP-102B IP Solutions Setup Tool",Investigate,software
"AnyBurn",Investigate,software
"POS Printer Driver V7.17 7.17",Investigate,software
"7EE7776C.LinkedInforWindows",Reject,software
"Branding",Investigate,software
"SupportSoft Assisted Service",Investigate,software
"WinPcap 4.1.1",Investigate,software
"EZTools 2.0",Investigate,software
"Recuva",Investigate,software
"WavesAudio.MaxxAudioProforDell2019",Investigate,software
"Npcap",Investigate,software
"SADPTool",Investigate,software
"microtype4.2instructor",Investigate,software
"Microsoft.MicrosoftSolitaireCollection",Reject,software
"MicrosoftWindows.Client.WebExperience",Approve,software
"Clipchamp.Clipchamp",Approve,software
"MicrosoftCorporationII.QuickAssist",Approve,software
"AppUp.IntelGraphicsExperience",Approve,software
"AppUp.IntelManagementandSecurityStatus",Approve,software
"MicrosoftTeams",Approve,software
"QuickBooks Runtime Redistributable",Approve,software
"MicrosoftWindows.CrossDevice",Approve,software
"NVIDIACorp.NVIDIAControlPanel",Approve,software
"QuickBooks Premier: Accountant Edition 2021",Approve,software
"Sentinel Agent",Approve,software
"LogMeIn",Approve,software
"Realtek Audio Driver",Approve,software
"Realtek High Definition Audio Driver",Approve,software
"MSTeams",Approve,software
"iTunes",Investigate,software
"AppUp.IntelArcSoftware",Approve,software
"MicrosoftCorporationII.MicrosoftFamily",Approve,software
"E046963F.LenovoSettingsforEnterprise",Approve,software
"Bonjour",Investigate,software
"Apple Application Support (64-bit)",Investigate,software
"Apple Application Support (32-bit)",Investigate,software
"Keyscan Aurora Client",Approve,software
"WebConnect Desktop Emulator",Approve,software
"FingerTec BioBridge SDK v2.1.045",Investigate,software
